N° de venda,ID do pedido,Total BRL,Número da nota,Numero_sem_parcela,Valor da nota,Plataforma,Situação,Ação sugerida,Valor a receber,Valor pago,Diferença,Data de pagamento,Data de emissão,empresa
2000014550121048,2000014550121048,632.49,008852,8852,714.99,Mercado Livre,Pago,Ok,632.49,632.49,0.0,2026-01-30 21:05:11,2026-01-05,Antomóveis
2000014567760048,2000014567760048,292.4,008924,8924,300.99,Mercado Livre,Pago,Ok,292.4,292.4,0.0,2026-01-19 10:10:20,2026-01-09,Antomóveis
2000014568880112,2000014568880112,517.49,008979,8979,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-01 15:13:31,2026-01-12,Antomóveis
2000014578058096,2000014578058096,562.49,008855,8855,478.14,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-02-02 09:15:34,2026-01-05,Antomóveis
2000014580114476,2000014580114476,517.49,008877,8877,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-03 11:36:16,2026-01-06,Antomóveis
2000014581457280,2000014581457280,517.49,008878,8878,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-02 13:02:28,2026-01-06,Antomóveis
2000014592603964,2000014592603964,517.49,008879,8879,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-01-22 15:52:31,2026-01-06,Antomóveis
2000014594701872,2000014594701872,517.49,008897,8897,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-03 10:27:25,2026-01-07,Antomóveis
2000014603889778,2000014603889778,43.27,008987,8987,41.93,Mercado Livre,Pago,Ok,43.27,43.27,0.0,2026-01-23 15:05:38,2026-01-13,Antomóveis
2000014630901688,2000014630901688,562.49,008940,8940,494.99,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-01-28 13:41:05,2026-01-09,Antomóveis
2000014633368866,2000014633368866,562.49,008938,8938,494.99,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-02-05 18:19:29,2026-01-09,Antomóveis
2000014636558566,2000014636558566,562.49,008942,8942,644.99,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-01-26 13:32:31,2026-01-09,Antomóveis
2000014652559192,2000014652559192,562.49,008978,8978,494.99,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-02-07 07:00:15,2026-01-12,Antomóveis
2000014653603392,2000014653603392,517.49,008980,8980,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-11 18:52:11,2026-01-12,Antomóveis
2000014655370794,2000014655370794,43.27,008986,8986,41.93,Mercado Livre,Pago,Ok,43.27,43.27,0.0,2026-01-23 13:38:12,2026-01-13,Antomóveis
2000014696540682,2000014696540682,517.49,009019,9019,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-01 12:27:48,2026-01-14,Antomóveis
2000014708700690,2000014708700690,517.49,009035,9035,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-11 09:19:01,2026-01-15,Antomóveis
2000014733129020,2000014733129020,517.49,009054,9054,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-12 19:54:39,2026-01-16,Antomóveis
2000014746379920,2000014746379920,517.49,009104,9104,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-13 19:17:27,2026-01-19,Antomóveis
2000014758692350,2000014758692350,517.49,009105,9105,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-05 11:13:34,2026-01-19,Antomóveis
2000014762302034,2000014762302034,518.9,009106,9106,494.99,Mercado Livre,Pago,Ok,518.9,518.9,0.0,2026-02-15 09:17:50,2026-01-19,Antomóveis
2000014774967212,2000014774967212,517.49,009119,9119,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-16 09:46:02,2026-01-20,Antomóveis
2000014789017398,2000014789017398,948.04,009120,9120,835.99,Mercado Livre,Pago,Ok,948.04,948.04,0.0,2026-02-17 08:14:46,2026-01-20,Antomóveis
2000014801909944,2000014801909944,562.49,009132,9132,494.99,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-02-17 23:34:51,2026-01-21,Antomóveis
2000014804593370,2000014804593370,336.65,009157,9157,335.99,Mercado Livre,Pago,Ok,336.65,336.65,0.0,2026-02-05 16:18:32,2026-01-23,Antomóveis
2000014814345080,2000014814345080,517.49,009150,9150,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-08 05:34:39,2026-01-22,Antomóveis
2000014831205136,2000014831205136,517.49,009238,9238,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-19 23:59:55,2026-01-28,Antomóveis
2000014880906238,2000014880906238,517.49,009227,9227,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-15 07:50:18,2026-01-27,Antomóveis
2000014898765948,2000014898765948,517.49,009241,9241,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-25 09:22:34,2026-01-29,Antomóveis
2000014915382872,2000014915382872,221.04,009397,9397,230.87,Mercado Livre,Pago,Ok,221.04,221.04,0.0,2026-02-19 11:23:12,2026-02-10,Antomóveis
2000014935416264,2000014935416264,338.84,009257,9257,335.99,Mercado Livre,Pago,Ok,338.84,338.84,0.0,2026-02-17 12:07:19,2026-02-02,Antomóveis
2000014944192168,2000014944192168,948.04,009281,9281,835.99,Mercado Livre,Pago,Ok,948.04,948.04,0.0,2026-03-03 16:00:37,2026-02-02,Antomóveis
2000014952788086,2000014952788086,517.49,009280,9280,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-03-01 10:15:22,2026-02-02,Antomóveis
2000014964793594,2000014964793594,241.49,009284,9284,258.99,Mercado Livre,Pago,Ok,241.49,241.49,0.0,2026-02-15 09:38:55,2026-02-03,Antomóveis
2000015008670146,2000015008670146,-270.84,009354,9354,209.99,Mercado Livre,Pago,Verificar recebimento,-270.84,-270.84,0.0,2026-02-12 12:05:58,2026-02-09,Antomóveis
2000015039416964,2000015039416964,562.49,009395,9395,494.99,Mercado Livre,Pago,Ok,562.49,562.49,0.0,2026-03-06 18:58:27,2026-02-09,Antomóveis
2000015058046958,2000015058046958,517.49,009392,9392,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-02-24 20:39:05,2026-02-09,Antomóveis
2000015059035310,2000015059035310,517.49,009393,9393,449.99,Mercado Livre,Pago,Ok,517.49,517.49,0.0,2026-03-08 11:51:29,2026-02-09,Antomóveis
2000015070896576,2000015070896576,602.49,009394,9394,534.99,Mercado Livre,Pago,Ok,602.49,602.49,0.0,2026-03-08 11:10:12,2026-02-09,Antomóveis
2000015115782640,2000015115782640,632.49,009423,9423,564.99,Mercado Livre,Pago,Ok,632.49,632.49,0.0,2026-03-16 16:34:53,2026-02-12,Antomóveis
2000015150898906,2000015150898906,948.04,009462,9462,835.99,Mercado Livre,Pago,Ok,948.04,948.04,0.0,2026-03-14 17:33:40,2026-02-16,Antomóveis
2000015193178848,2000015193178848,833.04,,,,Mercado Livre,,Baixar no Bling,833.04,833.04,0.0,2026-03-14 07:56:53,,Antomóveis
2000015244612898,2000015244612898,351.34,009534,9534,335.99,Mercado Livre,Pago,Ok,351.34,351.34,0.0,2026-03-13 06:48:48,2026-02-24,Antomóveis
2000015271444582,2000015271444582,561.34,009562,9562,466.99,Mercado Livre,Pago,Ok,561.34,561.34,0.0,2026-03-24 09:16:39,2026-02-25,Antomóveis
2000015281369934,2000015281369934,561.34,009563,9563,466.99,Mercado Livre,Pago,Ok,561.34,561.34,0.0,2026-03-23 17:01:49,2026-02-25,Antomóveis
2000015285242104,2000015285242104,307.09,009596,9596,300.99,Mercado Livre,Pago,Ok,307.09,307.09,0.0,2026-03-12 11:23:38,2026-03-02,Antomóveis
